method_num,method,column,eval_prefix,variant,task,value,file
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-psychopathy,0.550512,scores_self-v6-google_gemma-2-2b-it_persona-v1-psychopathy_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-machiavellianism,0.600096,scores_self-v6-google_gemma-2-2b-it_persona-v1-machiavellianism_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-narcissism,0.573296,scores_self-v6-google_gemma-2-2b-it_persona-v1-narcissism_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-desire-to-create-allies,0.26481,scores_self-v6-google_gemma-2-2b-it_persona-v1-desire-to-create-allies_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-interest-in-music,0.514732,scores_self-v6-google_gemma-2-2b-it_persona-v1-interest-in-music_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-interest-in-science,0.40991399999999995,scores_self-v6-google_gemma-2-2b-it_persona-v1-interest-in-science_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-psychopathy,0.51356,scores_self-v6-google_gemma-2-2b-it_persona-v1-psychopathy_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-machiavellianism,0.593408,scores_self-v6-google_gemma-2-2b-it_persona-v1-machiavellianism_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-narcissism,0.686264,scores_self-v6-google_gemma-2-2b-it_persona-v1-narcissism_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-desire-to-create-allies,0.47354399999999996,scores_self-v6-google_gemma-2-2b-it_persona-v1-desire-to-create-allies_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-interest-in-music,0.58844,scores_self-v6-google_gemma-2-2b-it_persona-v1-interest-in-music_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-interest-in-science,0.5888479999999999,scores_self-v6-google_gemma-2-2b-it_persona-v1-interest-in-science_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-psychopathy,0.73864,scores_neg-v6-google_gemma-2-2b-it_persona-v1-psychopathy_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-machiavellianism,0.673216,scores_neg-v6-google_gemma-2-2b-it_persona-v1-machiavellianism_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-narcissism,0.6892879999999999,scores_neg-v6-google_gemma-2-2b-it_persona-v1-narcissism_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-desire-to-create-allies,0.735306,scores_neg-v6-google_gemma-2-2b-it_persona-v1-desire-to-create-allies_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-interest-in-music,0.8644959999999999,scores_neg-v6-google_gemma-2-2b-it_persona-v1-interest-in-music_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-interest-in-science,0.848412,scores_neg-v6-google_gemma-2-2b-it_persona-v1-interest-in-science_test_log-odds_tc_20260520.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-psychopathy,0.9213279999999999,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-psychopathy_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-machiavellianism,0.94192,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-machiavellianism_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-narcissism,0.9051840000000001,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-narcissism_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-desire-to-create-allies,0.30644,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-desire-to-create-allies_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-interest-in-music,0.491652,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-interest-in-music_test_log-odds_tc_20260521.csv
