noun1,predicted_hypernym,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
bananas,vegetable,-0.9079405069351196,1,beam_search,No,-21.440018856463897,-19.658958067809685,-16.00401404317763,-11.651027286109512,-12.20405468298686
bananas,animal,-1.3523085117340088,1,beam_search,No,-10.488377315128824,-19.658958067809685,-16.12525936851011,-9.6472945991893,-12.20405468298686
bananas,plant,-1.4729993343353271,1,beam_search,Yes,-10.587905040521907,-19.658958067809685,-14.14988037949927,-9.463941842116137,-12.20405468298686
bananas,apple,-1.500469446182251,1,beam_search,No,-9.186997710319224,-19.658958067809685,-16.05896809411282,-9.763723871032047,-12.20405468298686
bananas,fish,-1.5416724681854248,1,beam_search,No,-9.526645170115193,-19.658958067809685,-14.340599776458413,-9.441010930266133,-12.20405468298686
bananas,meat,-1.5537996292114258,1,beam_search,No,-10.27409848870561,-19.658958067809685,-14.69841758009736,-10.061309295812062,-12.20405468298686
bananas,berry,-1.5793242454528809,1,beam_search,Yes,-8.6937472055363,-19.658958067809685,-14.256981624831056,-11.582264825048847,-12.20405468298686
bananas,tree,-1.584594488143921,1,beam_search,No,-9.454148984889432,-19.658958067809685,-16.483134604778527,-9.55565014483622,-12.20405468298686
bananas,cereal,-1.6043230295181274,2,beam_search,No,-16.89950233064629,-19.658958067809685,-19.64333666667004,-12.110744284072954,-12.20405468298686
bananas,nut,-1.632552146911621,1,beam_search,No,-8.27820213079603,-19.658958067809685,-15.15656140619317,-11.417606194298134,-12.20405468298686
bananas,pear,-1.717287302017212,1,beam_search,No,-13.914206483332764,-19.658958067809685,-16.68486695883735,-12.733671489881996,-12.20405468298686
bananas,grain,-1.7653119564056396,1,beam_search,No,-10.929693812502178,-19.658958067809685,-16.003083379688068,-11.100809191648768,-12.20405468298686
bananas,tropical fruit,-1.7791640758514404,2,beam_search,Yes,-23.239118056302203,-19.658958067809685,-18.580388800327057,-11.435955164617708,-12.20405468298686
bananas,root,-1.8396492004394531,1,beam_search,No,-9.426674051310453,-19.658958067809685,-15.668132669386736,-10.569015675020086,-12.20405468298686
bananas,sweet,-1.8891117572784424,1,beam_search,No,-10.585917749096703,-19.658958067809685,-14.829139262574364,-9.417363311398965,-12.20405468298686
bananas,herb,-1.9104835987091064,1,beam_search,Yes,-15.050885751989078,-19.658958067809685,-17.781153588754414,-12.04223758251621,-12.20405468298686
bananas,juice,-1.943220853805542,1,beam_search,No,-16.82316347545475,-19.658958067809685,-14.593258385258599,-10.684369280601388,-12.20405468298686
bananas,orange,-2.003195285797119,1,beam_search,No,-11.963716782282386,-19.658958067809685,-15.838640652139588,-10.08500703108086,-12.20405468298686
bananas,melon,-2.016723155975342,1,beam_search,No,-10.207614297966057,-19.658958067809685,-12.89029892839752,-13.078298646242228,-12.20405468298686
bananas,sweet fruit,-2.0292906761169434,2,beam_search,Yes,-20.103952847404905,-19.658958067809685,-18.932395552961967,-10.576828184238956,-12.20405468298686
bananas,root vegetable,-2.0492329597473145,2,beam_search,No,-20.204538546067432,-19.658958067809685,-18.83998320409264,-11.942155740878672,-12.20405468298686
bananas,snack,-9.625,1,gpt4_negative,Yes,-16.10159804470915,-19.658958067809685,-18.961414374405486,-11.7435846883261,-12.20405468298686
bananas,produce,-9.75,1,gpt4_positive,Yes,-15.767084496487083,-19.658958067809685,-20.511106934858493,-9.716176795857717,-12.20405468298686
bananas,crop,-9.875,1,single_token,Yes,-9.589507166233968,-19.658958067809685,-15.69861175451863,-11.169328668406719,-12.20405468298686
bananas,bird,-9.875,1,gpt4_negative,No,-9.550907329666211,-19.658958067809685,-16.186980513780163,-10.061309295812062,-12.20405468298686
bananas,drink,-10.0,1,existing_hypernyms,No,-15.901127689636358,-19.658958067809685,-19.14555365118902,-9.441010930266133,-12.20405468298686
